Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Tzevelekakis, K., Stefanidi, Z., Margetis, G.","57351022600;57202944402;6507936405;","Real-time stress level feedback from raw ecg signals for personalised, context-aware applications using lightweight convolutional neural network architectures",2021,"Sensors","21","23","7802","","",,,"10.3390/s21237802","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119688293&doi=10.3390%2fs21237802&partnerID=40&md5=6131a72352b002820088f3939490c76d",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85119688293
"Sharma, L.D., Saraswat, R.K., Sunkaria, R.K.","57188567436;56208606300;35787505800;","Cognitive performance detection using entropy-based features and lead-specific approach",2021,"Signal, Image and Video Processing","15","8",,"1821","1828",,1,"10.1007/s11760-021-01927-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105944154&doi=10.1007%2fs11760-021-01927-0&partnerID=40&md5=9429aff7f1a1cba7568d00335fa0d4fd",Article,"Final","",Scopus,2-s2.0-85105944154
"Kene, A., Thakare, S.","57347063600;57235928800;","Mental Stress Level Prediction and Classification based on Machine Learning",2021,"Proceedings - 1st International Conference on Smart Technologies Communication and Robotics, STCR 2021",,,,"","",,,"10.1109/STCR51658.2021.9588803","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119412658&doi=10.1109%2fSTCR51658.2021.9588803&partnerID=40&md5=9ae6cabaa3b0cd099d0cc453229cf30d",Conference Paper,"Final","",Scopus,2-s2.0-85119412658
"Jiang, R., Chen, L., Chen, Q.","57226273597;35085801400;57226277982;","Driving Stress Detection Based on Unsupervised Feature Learning of Single Module Physiological Signal [基于单模态生理信号无监督特征学习的驾驶压力识别]",2021,"Huadong Ligong Daxue Xuebao/Journal of East China University of Science and Technology","47","4",,"475","482",,1,"10.14135/j.cnki.1006-3080.20200728001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111011574&doi=10.14135%2fj.cnki.1006-3080.20200728001&partnerID=40&md5=3e2fb8b1ef74331ce93ff21d3b4ca12a",Article,"Final","",Scopus,2-s2.0-85111011574
"Lashkov, I.B.","56719631000;","Determination of dangerous driving behavior based on the use of information from wearable electronic devices",2021,"Scientific and Technical Journal of Information Technologies, Mechanics and Optics","21","4",,"515","524",,,"10.17586/2226-1494-2021-21-4-515-524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115987887&doi=10.17586%2f2226-1494-2021-21-4-515-524&partnerID=40&md5=0b026028084fcc585cfa2018ec0ee789",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85115987887
"Kim, H.T., Jin, E., Lee, M.-H.","57216143295;57224982946;57219039341;","Portable chemiluminescence-based lateral flow assay platform for the detection of cortisol in human serum",2021,"Biosensors","11","6","191","","",,,"10.3390/bios11060191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108845143&doi=10.3390%2fbios11060191&partnerID=40&md5=e3333cd12e3dabba4f3f891a4315af65",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85108845143
"Nemcova, A., Svozilova, V., Bucsuhazy, K., Smisek, R., Mezl, M., Hesko, B., Belak, M., Bilik, M., Maxera, P., Seitl, M., Dominik, T., Semela, M., Sucha, M., Kolar, R.","6507784572;57203269506;57194560385;57188873046;36477866400;57200030482;57205166450;56578277800;57205167913;57193124123;57193344234;56578709000;55320054800;8935082300;","Multimodal Features for Detection of Driver Stress and Fatigue: Review",2021,"IEEE Transactions on Intelligent Transportation Systems","22","6","9031734","3214","3233",,5,"10.1109/TITS.2020.2977762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107408203&doi=10.1109%2fTITS.2020.2977762&partnerID=40&md5=6d7ccdea898ef88f76c1eb615b7d766a",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85107408203
"Ding, X., Wei, S., Gui, X.","8336063300;57222061586;56902289000;","Data engagement reconsidered: A study of automatic stress tracking technology in use",2021,"Conference on Human Factors in Computing Systems - Proceedings",,,,"","",,,"10.1145/3411764.3445763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106751429&doi=10.1145%2f3411764.3445763&partnerID=40&md5=f3e18a95b55001ce4b96da5d5c066960",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85106751429
"Vargas-Lopez, O., Perez-Ramirez, C.A., Valtierra-Rodriguez, M., Yanez-Borjas, J.J., Amezquita-Sanchez, J.P.","57212538281;55807557100;54941304400;57208133139;24490623800;","An explainable machine learning approach based on statistical indexes and svm for stress detection in automobile drivers using electromyographic signals",2021,"Sensors","21","9","3155","","",,,"10.3390/s21093155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104931568&doi=10.3390%2fs21093155&partnerID=40&md5=bc64d56e53cb12c3a3e2a8711b17f0b5",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85104931568
"Pan, T., Wang, H., Si, H., Li, Y., Shang, L.","57216180424;57190006264;8970992500;57216685384;57223048608;","Identification of pilots’ fatigue status based on electrocardiogram signals",2021,"Sensors","21","9","3003","","",,2,"10.3390/s21093003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104581338&doi=10.3390%2fs21093003&partnerID=40&md5=1f807a8535cf868c4f82db8e8c0f95e6",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85104581338
