Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Donassolo, B., Legrand, A., Mertikopoulos, P., Fajjari, I.","36668464700;35845296600;24773619100;36157552900;","Online Reconfiguration of IoT Applications in the Fog: The Information-Coordination Trade-Off",2022,"IEEE Transactions on Parallel and Distributed Systems","33","5",,"1156","1172",,,"10.1109/TPDS.2021.3097281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110876875&doi=10.1109%2fTPDS.2021.3097281&partnerID=40&md5=ef0f69a55900f5b1c6179821adcaddbc",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85110876875
"Hammoud, A., Otrok, H., Mourad, A., Dziong, Z.","57196650892;20436645500;9275987400;6603795154;","Stable federated fog formation: An evolutionary game theoretical approach",2021,"Future Generation Computer Systems","124",,,"21","32",,,"10.1016/j.future.2021.05.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107019507&doi=10.1016%2fj.future.2021.05.021&partnerID=40&md5=ddcca67272d51868a709a2b631d2d5d7",Article,"Final","",Scopus,2-s2.0-85107019507
"Ogundoyin, S.O., Kamil, I.A.","57197737017;54797392100;","Optimization techniques and applications in fog computing: An exhaustive survey",2021,"Swarm and Evolutionary Computation","66",,"100937","","",,,"10.1016/j.swevo.2021.100937","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111036654&doi=10.1016%2fj.swevo.2021.100937&partnerID=40&md5=188bcaa44e2b6c45c9872530fd87da96",Article,"Final","",Scopus,2-s2.0-85111036654
"Sami, H., Otrok, H., Bentahar, J., Mourad, A.","57211430573;20436645500;8961304900;9275987400;","AI-Based Resource Provisioning of IoE Services in 6G: A Deep Reinforcement Learning Approach",2021,"IEEE Transactions on Network and Service Management","18","3","9380677","3527","3540",,2,"10.1109/TNSM.2021.3066625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103212239&doi=10.1109%2fTNSM.2021.3066625&partnerID=40&md5=8022c846785a944692e9ae79c5429fd6",Article,"Final","",Scopus,2-s2.0-85103212239
"Nayeri, Z.M., Ghafarian, T., Javadi, B.","57223033953;35179399200;6507235083;","Application placement in Fog computing with AI approach: Taxonomy and a state of the art survey",2021,"Journal of Network and Computer Applications","185",,"103078","","",,5,"10.1016/j.jnca.2021.103078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104640883&doi=10.1016%2fj.jnca.2021.103078&partnerID=40&md5=7b63d268989c55b8a783b826b0d79bf2",Review,"Final","",Scopus,2-s2.0-85104640883
"Tout, H., Mourad, A., Kara, N., Talhi, C.","55442989700;9275987400;55394092400;9275987500;","Multi-Persona Mobility: Joint Cost-Effective and Resource-Aware Mobile-Edge Computation Offloading",2021,"IEEE/ACM Transactions on Networking","29","3","9385940","1408","1421",,,"10.1109/TNET.2021.3066558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103292797&doi=10.1109%2fTNET.2021.3066558&partnerID=40&md5=8a279198658d330390b5fd68193a0211",Article,"Final","",Scopus,2-s2.0-85103292797
"Abdulrahman, S., Tout, H., Ould-Slimane, H., Mourad, A., Talhi, C., Guizani, M.","57222335060;55442989700;35105790000;9275987400;9275987500;7004750176;","A survey on federated learning: The journey from centralized to distributed on-site learning and beyond",2021,"IEEE Internet of Things Journal","8","7","9220780","5476","5497",,20,"10.1109/JIOT.2020.3030072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103307200&doi=10.1109%2fJIOT.2020.3030072&partnerID=40&md5=ca401ca2e34efdf0c58dbc1ebffb8e2d",Article,"Final","",Scopus,2-s2.0-85103307200
"Azhaguramyaa, V.R., Janet, J., Tharuneshwar, V., Sriram, S., Kumar, T.S.","57192682202;56088354600;57210210533;57224616294;57224618736;","An Efficient Approach towards Surrogate Node Selection for Container Migration in Fog Computing",2021,"2021 7th International Conference on Advanced Computing and Communication Systems, ICACCS 2021",,,"9442046","1209","1214",,,"10.1109/ICACCS51430.2021.9442046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108023521&doi=10.1109%2fICACCS51430.2021.9442046&partnerID=40&md5=c2ea993d28b4eceaeb4c0a11646485b3",Conference Paper,"Final","",Scopus,2-s2.0-85108023521
"Abdulrahman, S., Tout, H., Mourad, A., Talhi, C.","57222335060;55442989700;9275987400;9275987500;","FedMCCS: Multicriteria Client Selection Model for Optimal IoT Federated Learning",2021,"IEEE Internet of Things Journal","8","6","9212434","4723","4735",,2,"10.1109/JIOT.2020.3028742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102363246&doi=10.1109%2fJIOT.2020.3028742&partnerID=40&md5=e8e533f1264b695e7c097057bc334263",Article,"Final","",Scopus,2-s2.0-85102363246
"Xiong, S., Huang, B.","36651664400;57222350261;","A Novel Think Tanks Evaluation System Based on Micro Service",2021,"Journal of Physics: Conference Series","1757","1","012197","","",,1,"10.1088/1742-6596/1757/1/012197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102404354&doi=10.1088%2f1742-6596%2f1757%2f1%2f012197&partnerID=40&md5=7afa28f7bbd4039d29b38c2d76723e0f",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85102404354
"Mourad, A., Tout, H., Wahab, O.A., Otrok, H., Dbouk, T.","9275987400;55442989700;55798635800;20436645500;57193493257;","Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection",2021,"IEEE Internet of Things Journal","8","2","9138386","829","843",,3,"10.1109/JIOT.2020.3008488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099123407&doi=10.1109%2fJIOT.2020.3008488&partnerID=40&md5=0178d2e07e076ebba760330102ea8da8",Article,"Final","",Scopus,2-s2.0-85099123407
"Al-Abbas, M., Saab, S.S.","57215588077;7004275222;","On the Impact of Multi-Authorship Scholarly Publications",2020,"Proceedings of IEEE International Conference on Advent Trends in Multidisciplinary Research and Innovation, ICATMRI 2020",,,"9398438","","",,,"10.1109/ICATMRI51801.2020.9398438","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104669217&doi=10.1109%2fICATMRI51801.2020.9398438&partnerID=40&md5=7c643d3a24320c81d9f1ec841dcb260e",Conference Paper,"Final","",Scopus,2-s2.0-85104669217
"Shi, Y., Guo, Y., Lv, L., Zhang, K.","8980758800;57216411958;57216413448;57204111768;","An efficient resource scheduling strategy for v2x microservice deployment in edge servers",2020,"Future Internet","12","10","172","1","15",,,"10.3390/fi12100172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093976460&doi=10.3390%2ffi12100172&partnerID=40&md5=b3e3ea4a12e8d7775c6081f651b5bcd8",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85093976460
"Arisdakessian, S., Wahab, O.A., Mourad, A., Otrok, H., Kara, N.","57218917207;55798635800;9275987400;20436645500;55394092400;","FoGMatch: An Intelligent Multi-Criteria IoT-Fog Scheduling Approach Using Game Theory",2020,"IEEE/ACM Transactions on Networking","28","4","9109632","1779","1789",,10,"10.1109/TNET.2020.2994015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090768645&doi=10.1109%2fTNET.2020.2994015&partnerID=40&md5=8c3920b37db687ffbc0d28aad5fd3cd5",Article,"Final","",Scopus,2-s2.0-85090768645
"Sami, H., Mourad, A., El-Hajj, W.","57211430573;9275987400;21833644200;","Vehicular-OBUs-As-On-Demand-Fogs: Resource and Context Aware Deployment of Containerized Micro-Services",2020,"IEEE/ACM Transactions on Networking","28","2","9032323","778","790",,13,"10.1109/TNET.2020.2973800","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083724639&doi=10.1109%2fTNET.2020.2973800&partnerID=40&md5=0a47e7dd60662a13a62b7d2176b7c75c",Article,"Final","",Scopus,2-s2.0-85083724639
