Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kodali, J., Kandikatla, V., Nagati, P., Nerendla, V., Sreedevi, M.","57264464400;57265410000;57265410100;57265220600;56582077000;","Irrelevant Racist Tweets Identification Using Data Mining Techniques",2022,"Lecture Notes on Data Engineering and Communications Technologies","75",,,"203","214",,,"10.1007/978-981-16-3728-5_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115253441&doi=10.1007%2f978-981-16-3728-5_15&partnerID=40&md5=7845715e989c061252edc73b5e62fff0",Book Chapter,"Final","",Scopus,2-s2.0-85115253441
"Arafeh, M., Ceravolo, P., Mourad, A., Damiani, E., Bellini, E.","57210471027;6506416314;9275987400;57195375517;36647203400;","Ontology based recommender system using social network data",2021,"Future Generation Computer Systems","115",,,"769","779",,7,"10.1016/j.future.2020.09.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092928903&doi=10.1016%2fj.future.2020.09.030&partnerID=40&md5=2dcb23ff2e15accf0a8719d52a8f3e07",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85092928903
"B, V., V, V.S.","57226600968;57211713560;","Optimized generative adversarial network with fractional calculus based feature fusion using Twitter stream for spam detection",2021,"Information Security Journal",,,,"","",,,"10.1080/19393555.2021.1956024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112097320&doi=10.1080%2f19393555.2021.1956024&partnerID=40&md5=0c5adc3e0667610e714fda905ffd4dea",Article,"Article in Press","",Scopus,2-s2.0-85112097320
"Johnson, N., Turnbull, B., Maher, T., Reisslein, M.","13607050700;15756106400;57221418289;35576010000;","Semantically Modeling Cyber Influence Campaigns (CICs): Ontology Model and Case Studies",2021,"IEEE Access","9",,"9311246","9365","9382",,,"10.1109/ACCESS.2020.3048269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099085860&doi=10.1109%2fACCESS.2020.3048269&partnerID=40&md5=d2873b00318434fb7d5a9dd2bdffc911",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85099085860
"Mourad, A., Srour, A., Harmanani, H., Jenainati, C., Arafeh, M.","9275987400;57219756929;6603544275;57219765093;57210471027;","Critical Impact of Social Networks Infodemic on Defeating Coronavirus COVID-19 Pandemic: Twitter-Based Study and Research Directions",2020,"IEEE Transactions on Network and Service Management","17","4","9223699","2145","2155",,15,"10.1109/TNSM.2020.3031034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097738133&doi=10.1109%2fTNSM.2020.3031034&partnerID=40&md5=73477bbbcf07a9d11ec4fc8f6e3f2032",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85097738133
"Jabardi, M.H., Hadi, A.S.","56940882500;55819962100;","Ontology Meter for Twitter Fake Accounts Detection",2020,"International Journal of Intelligent Engineering and Systems","14","1",,"410","419",,,"10.22266/IJIES2021.0228.38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114224420&doi=10.22266%2fIJIES2021.0228.38&partnerID=40&md5=4e513240606be78d8b3a88b3b885b057",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85114224420
"Jabardi, M., Hadi, A.S.","56940882500;55819962100;","Twitter fake account detection and classification using ontological engineering and semantic web rule language",2020,"Karbala International Journal of Modern Science","6","4",,"404","413",,,"10.33640/2405-609X.2285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098137360&doi=10.33640%2f2405-609X.2285&partnerID=40&md5=5701f43767e391e45ee974b34afc7391",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85098137360
"Markarian, C., Kassar, A.-N.","55305817500;6506459477;","Online deterministic algorithms for connected dominating set &amp; set cover leasing problems",2020,"ICORES 2020 - Proceedings of the 9th International Conference on Operations Research and Enterprise Systems",,,,"121","128",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082984476&partnerID=40&md5=16c02a9c3380e02946c5559940a8c3f5",Conference Paper,"Final","",Scopus,2-s2.0-85082984476
"Krithiga, R., Ilavarasan, E.","35102526300;13405558200;","A comprehensive survey of spam profile detection methods in online social networks",2019,"Journal of Physics: Conference Series","1362","1","012111","","",,1,"10.1088/1742-6596/1362/1/012111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076505920&doi=10.1088%2f1742-6596%2f1362%2f1%2f012111&partnerID=40&md5=c605c6c5f81094a7aaf348be8cc10a74",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85076505920
"van der Walt, E., Eloff, J.","57188974509;35608775600;","Identity deception detection: requirements and a model",2019,"Information and Computer Security","26","4",,"562","574",,1,"10.1108/ICS-01-2019-0017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067845162&doi=10.1108%2fICS-01-2019-0017&partnerID=40&md5=99ea42126241cf335efcfe02c89251a0",Article,"Final","",Scopus,2-s2.0-85067845162
