Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Li, J., Liang, W., Xu, W., Xu, Z., Jia, X., Zhou, W., Zhao, J.","57276291800;7402025996;55487640400;7405426909;7201933846;7404511655;35794303200;","Maximizing User Service Satisfaction for Delay-Sensitive IoT Applications in Edge Computing",2022,"IEEE Transactions on Parallel and Distributed Systems","33","5",,"1199","1212",,,"10.1109/TPDS.2021.3107137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113849697&doi=10.1109%2fTPDS.2021.3107137&partnerID=40&md5=16327edb251ee6313ba3d90a034d1e56",Article,"Final","",Scopus,2-s2.0-85113849697
"Hammoud, A., Otrok, H., Mourad, A., Dziong, Z.","57196650892;20436645500;9275987400;6603795154;","Stable federated fog formation: An evolutionary game theoretical approach",2021,"Future Generation Computer Systems","124",,,"21","32",,,"10.1016/j.future.2021.05.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107019507&doi=10.1016%2fj.future.2021.05.021&partnerID=40&md5=ddcca67272d51868a709a2b631d2d5d7",Article,"Final","",Scopus,2-s2.0-85107019507
"You, Z., Chen, S.","57216703366;35728449100;","Cache Management and Resource Allocation Based Energy-Balancing Content Service Mechanism [融合缓存管理与资源分配的能耗均衡内容服务研究]",2021,"Chinese Journal of Sensors and Actuators","34","9",,"1216","1223",,,"10.3969/j.issn.1004-1699.2021.09.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118685439&doi=10.3969%2fj.issn.1004-1699.2021.09.012&partnerID=40&md5=0f802a473f690d9fca5e81eec00334ab",Article,"Final","",Scopus,2-s2.0-85118685439
"Siar, H., Izadi, M.","36678237700;56781128700;","Offloading Coalition Formation for Scheduling Scientific Workflow Ensembles in Fog Environments",2021,"Journal of Grid Computing","19","3","34","","",,,"10.1007/s10723-021-09574-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110951173&doi=10.1007%2fs10723-021-09574-y&partnerID=40&md5=1fff0745cb5d968379ab545e23449dab",Article,"Final","",Scopus,2-s2.0-85110951173
"Wahab, O.A., Mourad, A., Otrok, H., Taleb, T.","55798635800;9275987400;20436645500;6602641627;","Federated Machine Learning: Survey, Multi-Level Classification, Desirable Criteria and Future Directions in Communication and Networking Systems",2021,"IEEE Communications Surveys and Tutorials","23","2","9352033","1342","1397",,15,"10.1109/COMST.2021.3058573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100831147&doi=10.1109%2fCOMST.2021.3058573&partnerID=40&md5=5d8de4ee2b9043e9cbd84ba24e20dabb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100831147
"Neelakantam, G., Onthoni, D.D., Sahoo, P.K.","57218920890;57212392743;9738729800;","Fog computing enabled locality based product demand prediction and decision making using reinforcement learning",2021,"Electronics (Switzerland)","10","3","227","1","16",,,"10.3390/electronics10030227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099685122&doi=10.3390%2felectronics10030227&partnerID=40&md5=b1ed758934c76fe83bbf09eff03afa24",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85099685122
"Zhao, M., Zhang, Z.","57234745100;57220078451;","Optimal Route Selection Decision-Making Based on Intelligent Network",2021,"Journal of Mathematics","2021",,"9957082","","",,,"10.1155/2021/9957082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113685827&doi=10.1155%2f2021%2f9957082&partnerID=40&md5=8be770aab5cf0cf65e9ddff5adeeb477",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85113685827
"Wadhwa, H., Aron, R.","57208958062;49960916300;","TRAM: Technique for resource allocation and management in fog computing environment",2021,"Journal of Supercomputing",,,,"","",,1,"10.1007/s11227-021-03885-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107276804&doi=10.1007%2fs11227-021-03885-3&partnerID=40&md5=c2429b7347acfe2a28c7cd56d799d28b",Article,"Article in Press","",Scopus,2-s2.0-85107276804
"El-Rajab, M., Abou-Rjeily, C., Kfouri, R.","57215538011;13003908400;57222165817;","Buffer-aided relaying: A survey on relay selection policies",2020,"IET Communications","14","21",,"3715","3734",,,"10.1049/iet-com.2020.0532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101768179&doi=10.1049%2fiet-com.2020.0532&partnerID=40&md5=2c71a20fba89eea9473d01bff6ceeca3",Review,"Final","",Scopus,2-s2.0-85101768179
"Bandyopadhyay, A., Singh, V.K., Mukhopadhyay, S., Rai, U., Xhafa, F., Krause, P.","57192686652;35774650600;35786190700;57220059984;57194438063;7103101744;","Matching iot devices to the fog service providers: A mechanism design perspective",2020,"Sensors (Switzerland)","20","23","6761","1","32",,,"10.3390/s20236761","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096710285&doi=10.3390%2fs20236761&partnerID=40&md5=90ec2c3d1eaba45d461367e3e6d04c66",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85096710285
