Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zhao, L., Li, J., Li, Q., Li, F.","57307361700;56383926000;57281790600;57273356500;","A Federated Learning Framework for Detecting False Data Injection Attacks in Solar Farms",2022,"IEEE Transactions on Power Electronics","37","3",,"2496","2501",,,"10.1109/TPEL.2021.3114671","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115762080&doi=10.1109%2fTPEL.2021.3114671&partnerID=40&md5=e86ae3c600e8f4234d69652408ab7e75",Article,"Final","",Scopus,2-s2.0-85115762080
"Yehezkel, A., Elyashiv, E., Soffer, O.","55542373300;57367338300;57368167800;","Network Anomaly Detection Using Transfer Learning Based on Auto-Encoders Loss Normalization",2021,"AISec 2021 - Proceedings of the 14th ACM Workshop on Artificial Intelligence and Security, co-located with CCS 2021",,,,"61","71",,,"10.1145/3474369.3486869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120850796&doi=10.1145%2f3474369.3486869&partnerID=40&md5=8fa6ad89519a0541eeb50c765ae517f1",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85120850796
"Kelli, V., Argyriou, V., Lagkas, T., Fragulis, G., Grigoriou, E., Sarigiannidis, P.","57271293400;13806485100;6507945237;6602402881;57195480098;12445587500;","Ids for industrial applications: A federated learning approach with active personalization",2021,"Sensors","21","20","6743","","",,1,"10.3390/s21206743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116801742&doi=10.3390%2fs21206743&partnerID=40&md5=0f6521c71d8e9c6dd524f534ff7028da",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85116801742
"Guo, L., Wang, S., Yin, J., Wang, Y., Yang, J., Gui, G.","57213165131;57226712313;57199847673;57207000043;57192104836;24168616700;","Federated user activity analysis via network traffic and deep neural network in mobile wireless networks",2021,"Physical Communication","48",,"101438","","",,1,"10.1016/j.phycom.2021.101438","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112414542&doi=10.1016%2fj.phycom.2021.101438&partnerID=40&md5=585b4277de4a551ca7b43d815c5dd57f",Article,"Final","",Scopus,2-s2.0-85112414542
"Yu, A., Yang, Q., Dou, L., Cheriet, M.","57209823610;55903929900;7006661804;56216876600;","Federated Imitation Learning: A Cross-Domain Knowledge Sharing Framework for Traffic Scheduling in 6G Ubiquitous IoT",2021,"IEEE Network","35","5",,"136","142",,,"10.1109/MNET.011.2100134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119428361&doi=10.1109%2fMNET.011.2100134&partnerID=40&md5=62b3d0799847470bf279f6313992998a",Article,"Final","",Scopus,2-s2.0-85119428361
"Ponnusamy, V., Humayun, M., Jhanjhi, N.Z., Yichiet, A., Almufareh, M.F.","26664958100;56580449600;57226705732;56811520600;57202332807;","Intrusion Detection Systems in Internet of Things and Mobile Ad-Hoc Networks",2021,"Computer Systems Science and Engineering","40","3",,"1199","1215",,,"10.32604/CSSE.2022.018518","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116652077&doi=10.32604%2fCSSE.2022.018518&partnerID=40&md5=694f5d30b099c4329f61a860a70b713e",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85116652077
"Saadat, H., Aboumadi, A., Mohamed, A., Erbad, A., Guizani, M.","57245184700;57245278000;55763482600;24528481900;7004750176;","Hierarchical Federated Learning for Collaborative IDS in IoT Applications",2021,"2021 10th Mediterranean Conference on Embedded Computing, MECO 2021",,,"9460304","","",,1,"10.1109/MECO52532.2021.9460304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114206052&doi=10.1109%2fMECO52532.2021.9460304&partnerID=40&md5=961708e77198e85f440ca9bb6be6097c",Conference Paper,"Final","",Scopus,2-s2.0-85114206052
"Alrubayyi, H., Goteng, G., Jaber, M., Kelly, J.","57228353700;17134535200;56970872000;55462305500;","A novel negative and positive selection algorithm to detect unknown malware in the IoT",2021,"IEEE INFOCOM 2021 - IEEE Conference on Computer Communications Workshops, INFOCOM WKSHPS 2021",,,"9484483","","",,1,"10.1109/INFOCOMWKSHPS51825.2021.9484483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113334548&doi=10.1109%2fINFOCOMWKSHPS51825.2021.9484483&partnerID=40&md5=3f56f7599dffd9c5458fd1da5dc7d60b",Conference Paper,"Final","",Scopus,2-s2.0-85113334548
"Abdulrahman, S., Tout, H., Ould-Slimane, H., Mourad, A., Talhi, C., Guizani, M.","57222335060;55442989700;35105790000;9275987400;9275987500;7004750176;","A survey on federated learning: The journey from centralized to distributed on-site learning and beyond",2021,"IEEE Internet of Things Journal","8","7","9220780","5476","5497",,20,"10.1109/JIOT.2020.3030072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103307200&doi=10.1109%2fJIOT.2020.3030072&partnerID=40&md5=ca401ca2e34efdf0c58dbc1ebffb8e2d",Article,"Final","",Scopus,2-s2.0-85103307200
"Wahab, O.A., Mourad, A., Otrok, H., Taleb, T.","55798635800;9275987400;20436645500;6602641627;","Federated Machine Learning: Survey, Multi-Level Classification, Desirable Criteria and Future Directions in Communication and Networking Systems",2021,"IEEE Communications Surveys and Tutorials","23","2","9352033","1342","1397",,15,"10.1109/COMST.2021.3058573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100831147&doi=10.1109%2fCOMST.2021.3058573&partnerID=40&md5=5d8de4ee2b9043e9cbd84ba24e20dabb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100831147
