Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Freitas De Araujo-Filho, P., Kaddoum, G., Campelo, D.R., Gondim Santos, A., Macedo, D., Zanchettin, C.","57222149630;24587843100;6507199723;57204641223;57204640204;8145364800;","Intrusion Detection for Cyber-Physical Systems Using Generative Adversarial Networks in Fog Environment",2021,"IEEE Internet of Things Journal","8","8","9199878","6247","6256",,6,"10.1109/JIOT.2020.3024800","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099780317&doi=10.1109%2fJIOT.2020.3024800&partnerID=40&md5=afd7c04fc6354a71bc0c1acddfa439dd",Article,"Final","",Scopus,2-s2.0-85099780317
"Wahab, O.A., Mourad, A., Otrok, H., Taleb, T.","55798635800;9275987400;20436645500;6602641627;","Federated Machine Learning: Survey, Multi-Level Classification, Desirable Criteria and Future Directions in Communication and Networking Systems",2021,"IEEE Communications Surveys and Tutorials","23","2","9352033","1342","1397",,15,"10.1109/COMST.2021.3058573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100831147&doi=10.1109%2fCOMST.2021.3058573&partnerID=40&md5=5d8de4ee2b9043e9cbd84ba24e20dabb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100831147
"Mohammed, I., Tabatabai, S., Al-Fuqaha, A., Bouanani, F.E., Qadir, J., Qolomany, B., Guizani, M.","57201198655;57201548898;57220421072;55217720500;15058218600;57195407635;7004750176;","Budgeted online selection of candidate iot clients to participate in federated learning",2021,"IEEE Internet of Things Journal","8","7","9249424","5938","5952",,2,"10.1109/JIOT.2020.3036157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098800474&doi=10.1109%2fJIOT.2020.3036157&partnerID=40&md5=10843378a093378b90b3d4339680d32b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85098800474
"He, D., Gu, H., Li, T., Du, Y., Wang, X., Zhu, S., Guizani, N.","25627656800;57219929621;57216528364;57219929659;55976862200;8886024500;55964114600;","Toward Hybrid Static-Dynamic Detection of Vulnerabilities in IoT Firmware",2021,"IEEE Network","35","2","9246617","202","207",,,"10.1109/MNET.011.2000450","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096130563&doi=10.1109%2fMNET.011.2000450&partnerID=40&md5=b438630734fad64523d8d313758ad7e1",Article,"Final","",Scopus,2-s2.0-85096130563
"Wahab, O.A., Bentahar, J., Otrok, H., Mourad, A.","55798635800;8961304900;20436645500;9275987400;","Resource-Aware Detection and Defense System against Multi-Type Attacks in the Cloud: Repeated Bayesian Stackelberg Game",2021,"IEEE Transactions on Dependable and Secure Computing","18","2","8675527","605","622",,23,"10.1109/TDSC.2019.2907946","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063671623&doi=10.1109%2fTDSC.2019.2907946&partnerID=40&md5=b969c836382f22d6826f52d5f7cdb117",Article,"Final","",Scopus,2-s2.0-85063671623
"Qolomany, B., Mohammed, I., Al-Fuqaha, A., Guizani, M., Qadir, J.","57195407635;57201198655;57220421072;7004750176;15058218600;","Trust-Based Cloud Machine Learning Model Selection for Industrial IoT and Smart City Services",2021,"IEEE Internet of Things Journal","8","4","9187421","2943","2958",,3,"10.1109/JIOT.2020.3022323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100825753&doi=10.1109%2fJIOT.2020.3022323&partnerID=40&md5=8e17e48bd39168a1cc0003acdf239141",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100825753
"Vetha, S., Vimala Devi, K.","57191493364;24451159100;","A trust-based hypervisor framework for preventing DDoS attacks in cloud",2021,"Concurrency and Computation: Practice and Experience","33","3","e5279","","",,3,"10.1002/cpe.5279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063935139&doi=10.1002%2fcpe.5279&partnerID=40&md5=1256803c78fbef4f372db7b7b16dd623",Article,"Final","",Scopus,2-s2.0-85063935139
"Peter Soosai Anandaraj, A., Indumathi, G.","57207684696;57204717131;","Improved cuckoo search load distribution (ICS-LD) and attack detection in cloud environment",2021,"Concurrency and Computation: Practice and Experience","33","3","e5226","","",,1,"10.1002/cpe.5226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062719742&doi=10.1002%2fcpe.5226&partnerID=40&md5=5a39daed0b09b4bc49be2cecef4c1c8f",Conference Paper,"Final","",Scopus,2-s2.0-85062719742
"Mourad, A., Tout, H., Wahab, O.A., Otrok, H., Dbouk, T.","9275987400;55442989700;55798635800;20436645500;57193493257;","Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection",2021,"IEEE Internet of Things Journal","8","2","9138386","829","843",,3,"10.1109/JIOT.2020.3008488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099123407&doi=10.1109%2fJIOT.2020.3008488&partnerID=40&md5=0178d2e07e076ebba760330102ea8da8",Article,"Final","",Scopus,2-s2.0-85099123407
"Aljuhani, A.","57193802914;","Machine Learning Approaches for Combating Distributed Denial of Service Attacks in Modern Networking Environments",2021,"IEEE Access","9",,"9366480","42236","42264",,1,"10.1109/ACCESS.2021.3062909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103753376&doi=10.1109%2fACCESS.2021.3062909&partnerID=40&md5=bf88b633b2b0b02f2b8fe98df6302ac8",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85103753376
