Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Hammoud, A., Otrok, H., Mourad, A., Dziong, Z.","57196650892;20436645500;9275987400;6603795154;","Stable federated fog formation: An evolutionary game theoretical approach",2021,"Future Generation Computer Systems","124",,,"21","32",,,"10.1016/j.future.2021.05.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107019507&doi=10.1016%2fj.future.2021.05.021&partnerID=40&md5=ddcca67272d51868a709a2b631d2d5d7",Article,"Final","",Scopus,2-s2.0-85107019507
"Sami, H., Otrok, H., Bentahar, J., Mourad, A.","57211430573;20436645500;8961304900;9275987400;","AI-Based Resource Provisioning of IoE Services in 6G: A Deep Reinforcement Learning Approach",2021,"IEEE Transactions on Network and Service Management","18","3","9380677","3527","3540",,2,"10.1109/TNSM.2021.3066625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103212239&doi=10.1109%2fTNSM.2021.3066625&partnerID=40&md5=8022c846785a944692e9ae79c5429fd6",Article,"Final","",Scopus,2-s2.0-85103212239
"Kadadha, M., Otrok, H.","57189467039;20436645500;","A blockchain-enabled relay selection for QoS-OLSR in urban VANET: A Stackelberg game model",2021,"Ad Hoc Networks","117",,"102502","","",,2,"10.1016/j.adhoc.2021.102502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103796421&doi=10.1016%2fj.adhoc.2021.102502&partnerID=40&md5=c4a8c64ba17b4b7596a0f35a27dabc06",Article,"Final","",Scopus,2-s2.0-85103796421
"Sirisala, S., Rama Krishna, S.","57204778576;57222293485;","Fuzzy COmplex PRoportional ASsessment of alternatives-based Node Cooperation Enforcing Trust Estimation Scheme for enhancing Quality of Service during reliable data dissemination in Mobile Ad hoc Networks",2021,"International Journal of Communication Systems","34","7","e4767","","",,,"10.1002/dac.4767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102168374&doi=10.1002%2fdac.4767&partnerID=40&md5=874c582f2066b5b604d2e20ba8db3ffa",Article,"Final","",Scopus,2-s2.0-85102168374
"Freitas De Araujo-Filho, P., Kaddoum, G., Campelo, D.R., Gondim Santos, A., Macedo, D., Zanchettin, C.","57222149630;24587843100;6507199723;57204641223;57204640204;8145364800;","Intrusion Detection for Cyber-Physical Systems Using Generative Adversarial Networks in Fog Environment",2021,"IEEE Internet of Things Journal","8","8","9199878","6247","6256",,6,"10.1109/JIOT.2020.3024800","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099780317&doi=10.1109%2fJIOT.2020.3024800&partnerID=40&md5=afd7c04fc6354a71bc0c1acddfa439dd",Article,"Final","",Scopus,2-s2.0-85099780317
"Qolomany, B., Mohammed, I., Al-Fuqaha, A., Guizani, M., Qadir, J.","57195407635;57201198655;57220421072;7004750176;15058218600;","Trust-Based Cloud Machine Learning Model Selection for Industrial IoT and Smart City Services",2021,"IEEE Internet of Things Journal","8","4","9187421","2943","2958",,3,"10.1109/JIOT.2020.3022323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100825753&doi=10.1109%2fJIOT.2020.3022323&partnerID=40&md5=8e17e48bd39168a1cc0003acdf239141",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100825753
"Mourad, A., Tout, H., Wahab, O.A., Otrok, H., Dbouk, T.","9275987400;55442989700;55798635800;20436645500;57193493257;","Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection",2021,"IEEE Internet of Things Journal","8","2","9138386","829","843",,3,"10.1109/JIOT.2020.3008488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099123407&doi=10.1109%2fJIOT.2020.3008488&partnerID=40&md5=0178d2e07e076ebba760330102ea8da8",Article,"Final","",Scopus,2-s2.0-85099123407
"Arisdakessian, S., Wahab, O.A., Mourad, A., Otrok, H., Kara, N.","57218917207;55798635800;9275987400;20436645500;55394092400;","FoGMatch: An Intelligent Multi-Criteria IoT-Fog Scheduling Approach Using Game Theory",2020,"IEEE/ACM Transactions on Networking","28","4","9109632","1779","1789",,10,"10.1109/TNET.2020.2994015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090768645&doi=10.1109%2fTNET.2020.2994015&partnerID=40&md5=8c3920b37db687ffbc0d28aad5fd3cd5",Article,"Final","",Scopus,2-s2.0-85090768645
"Sami, H., Mourad, A., Otrok, H., Bentahar, J.","57211430573;9275987400;20436645500;8961304900;","FScaler: Automatic Resource Scaling of Containers in Fog Clusters Using Reinforcement Learning",2020,"2020 International Wireless Communications and Mobile Computing, IWCMC 2020",,,"9148401","1824","1829",,1,"10.1109/IWCMC48107.2020.9148401","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089671536&doi=10.1109%2fIWCMC48107.2020.9148401&partnerID=40&md5=fb1726d78754b5596759d0ec243489f6",Conference Paper,"Final","",Scopus,2-s2.0-85089671536
"Islambouli, R., Sweidan, Z., Mourad, A., Abou-Rjeily, C.","57208273417;57214664773;9275987400;13003908400;","Towards Trust-Aware IoT Hashing Offloading in Mobile Edge Computing",2020,"2020 International Wireless Communications and Mobile Computing, IWCMC 2020",,,"9148480","2216","2221",,,"10.1109/IWCMC48107.2020.9148480","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089662389&doi=10.1109%2fIWCMC48107.2020.9148480&partnerID=40&md5=22d71927de3bc59784d251e63580411a",Conference Paper,"Final","",Scopus,2-s2.0-85089662389
