Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Rjoub, G., Bentahar, J., Abdel Wahab, O., Saleh Bataineh, A.","57201696839;8961304900;57215123692;57218280296;","Deep and reinforcement learning for automated task scheduling in large-scale cloud computing systems",2021,"Concurrency and Computation: Practice and Experience","33","23","e5919","","",,3,"10.1002/cpe.5919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088584045&doi=10.1002%2fcpe.5919&partnerID=40&md5=0e7ebb3a9edb5c9dbc7e44b97069ea98",Conference Paper,"Final","",Scopus,2-s2.0-85088584045
"Halabi, T., Wahab, O.A., Al Mallah, R., Zulkernine, M.","57192953420;55798635800;57219281510;6506457317;","Protecting the Internet of Vehicles against Advanced Persistent Threats: A Bayesian Stackelberg Game",2021,"IEEE Transactions on Reliability","70","3","9325099","970","985",,1,"10.1109/TR.2020.3046688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099681470&doi=10.1109%2fTR.2020.3046688&partnerID=40&md5=44ffa99bfbcd8423b3db9b3ee26fa95c",Article,"Final","",Scopus,2-s2.0-85099681470
"Lyu, R., He, M., Zhang, Y., Jin, L., Wang, X.","57226746278;57200641625;57267055800;56437132800;57222575493;","Network intrusion detection based on an efficient neural architecture search",2021,"Symmetry","13","8","1453","","",,,"10.3390/sym13081453","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112579921&doi=10.3390%2fsym13081453&partnerID=40&md5=982f94c4480c68fd5f67307671aa8b15",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85112579921
"Yang, Y., Shao, C.","57201443311;36444334200;","Hybrid multi-task learning-based response surface modeling in manufacturing",2021,"Journal of Manufacturing Systems","59",,,"607","616",,2,"10.1016/j.jmsy.2021.04.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104980104&doi=10.1016%2fj.jmsy.2021.04.012&partnerID=40&md5=1d47e534c654051530f2661767a222ac",Article,"Final","",Scopus,2-s2.0-85104980104
"Wahab, O.A., Mourad, A., Otrok, H., Taleb, T.","55798635800;9275987400;20436645500;6602641627;","Federated Machine Learning: Survey, Multi-Level Classification, Desirable Criteria and Future Directions in Communication and Networking Systems",2021,"IEEE Communications Surveys and Tutorials","23","2","9352033","1342","1397",,15,"10.1109/COMST.2021.3058573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100831147&doi=10.1109%2fCOMST.2021.3058573&partnerID=40&md5=5d8de4ee2b9043e9cbd84ba24e20dabb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100831147
"Filus, K., Boryszko, P., Domańska, J., Siavvas, M., Gelenbe, E.","57217079434;57221331159;16038785400;57194500913;7006026729;","Efficient feature selection for static analysis vulnerability prediction",2021,"Sensors (Switzerland)","21","4","1133","1","25",,2,"10.3390/s21041133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100490591&doi=10.3390%2fs21041133&partnerID=40&md5=63a8b7be9a761303be22a297e15bd4a3",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85100490591
"Roy, S., Kadir, S.U., Vorobeychik, Y., Laszka, A.","56925897300;57226329489;8913948800;57294198700;","Strategic Remote Attestation: Testbed for Internet-of-Things Devices and Stackelberg Security Game for Optimal Strategies",2021,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","13061 LNCS",,,"271","290",,,"10.1007/978-3-030-90370-1_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119366427&doi=10.1007%2f978-3-030-90370-1_15&partnerID=40&md5=6e52f1a8c08bd909323a9b734782a8fb",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85119366427
"Bajic, A., Becker, G.T.","57204831444;36085970500;","Automated benchmark network diversification for realistic attack simulation with application to moving target defense",2021,"International Journal of Information Security",,,,"","",,,"10.1007/s10207-021-00552-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107288280&doi=10.1007%2fs10207-021-00552-9&partnerID=40&md5=17a127faa944ca5085af8dec0b04bb8f",Article,"Article in Press","All Open Access, Hybrid Gold",Scopus,2-s2.0-85107288280
"Huang, H., Qin, A., Mao, H., Fu, J., Huang, Z., Yang, Y., Li, X., Huang, H.","57226040509;55735359300;27170047000;55614945500;23469526300;57221284717;57194113259;57217017222;","The prediction method on the early failure of hydropower units based on gaussian process regression driven by monitoring data",2021,"Applied Sciences (Switzerland)","11","1","153","1","20",,1,"10.3390/app11010153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098726964&doi=10.3390%2fapp11010153&partnerID=40&md5=01cf9a6c19402803b7c42bbaa52b571c",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85098726964
"Xia, Z., Tan, J., Gu, K., Jia, W.","35119881200;57212277440;37013501300;26643193700;","Detection resource allocation scheme for two-layer cooperative IDSs in smart grids",2021,"Journal of Parallel and Distributed Computing","147",,,"236","247",,2,"10.1016/j.jpdc.2020.09.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092335087&doi=10.1016%2fj.jpdc.2020.09.011&partnerID=40&md5=afd24be147344a1c660427fb1f09cbc4",Article,"Final","",Scopus,2-s2.0-85092335087
