Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Deng, F., Yu, Z., Song, H., Zhao, R., Zheng, Q., Li, Z., He, H., Zhang, Y., Guo, F.","43160986600;7404347135;57199094588;57220044349;57220026618;57220040194;57220034693;57220045080;57220033002;","An efficient policy evaluation engine with locomotive algorithm",2021,"Cluster Computing","24","2",,"1505","1524",,,"10.1007/s10586-020-03204-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096544545&doi=10.1007%2fs10586-020-03204-0&partnerID=40&md5=b3f0030553dcda5a7569f89254c54799",Article,"Final","",Scopus,2-s2.0-85096544545
"Deng, F., Yu, Z., Liu, W., Luo, X., Fu, Y., Qiang, B., Xu, C., Li, Z.","43160986600;7404347135;57219353272;57219354085;57219351213;57219363943;57219360920;55588010000;","An efficient policy evaluation engine for XACML policy management",2021,"Information Sciences","547",,,"1105","1121",,,"10.1016/j.ins.2020.08.044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092416717&doi=10.1016%2fj.ins.2020.08.044&partnerID=40&md5=bc05835e52c4b3e0d902e827e3385a7b",Article,"Final","",Scopus,2-s2.0-85092416717
"Deng, F., Yu, Z., Song, H., Zhang, L., Song, X., Zhang, M., Zhang, Z., Mei, Y.","43160986600;7404347135;57199094588;55568486400;57321095800;57321095900;56165813700;57321477500;","Improvement on PDP Evaluation Performance Based on Neural Networks and SGDK-means Algorithm",2021,"Soft Computing",,,,"","",,,"10.1007/s00500-021-06447-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118370527&doi=10.1007%2fs00500-021-06447-0&partnerID=40&md5=a5e5f9640501131d7ec5b243faaa7e29",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85118370527
"Liu, A., Du, X., Wang, N.","57196094528;26324832600;55467192100;","Efficient Access Control Permission Decision Engine Based on Machine Learning",2021,"Security and Communication Networks","2021",,"3970485","","",,,"10.1155/2021/3970485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102399349&doi=10.1155%2f2021%2f3970485&partnerID=40&md5=1103aa8a63429b7b20608e7ad2726c91",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85102399349
"Kang, H., Liu, G., Wang, Q., Zhang, R., Zhong, Z., Tian, Y.","57221594479;57216091380;55584980300;57188831120;57222059089;7402840625;","Policy evaluation and dynamic management based on matching tree for XACML",2020,"Proceedings - 2020 IEEE 19th International Conference on Trust, Security and Privacy in Computing and Communications, TrustCom 2020",,,"9343026","1530","1535",,,"10.1109/TrustCom50675.2020.00209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101257533&doi=10.1109%2fTrustCom50675.2020.00209&partnerID=40&md5=4af86927e2140416722a9c60a1d6659c",Conference Paper,"Final","",Scopus,2-s2.0-85101257533
"Deng, F., Yu, Z., Zhang, L., Ge, X., Zhao, R., Li, X., Ma, Y., Yan, Y., Wen, Z.","43160986600;7404347135;55568486400;57218352907;57218352665;57202442597;57218354622;57218354685;57218354559;","Clustering and supervised response for XACML policy evaluation and management",2020,"Knowledge-Based Systems","205",,"106312","","",,,"10.1016/j.knosys.2020.106312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088896222&doi=10.1016%2fj.knosys.2020.106312&partnerID=40&md5=a2ce0aced241bb01968269fcb949d097",Article,"Final","",Scopus,2-s2.0-85088896222
"Mejri, M., Yahyaoui, H., Mourad, A., Chehab, M.","6602661138;6602992340;9275987400;57215326520;","A rewriting system for the assessment of XACML policies relationship",2020,"Computers and Security","97",,"101957","","",,2,"10.1016/j.cose.2020.101957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088304492&doi=10.1016%2fj.cose.2020.101957&partnerID=40&md5=3196ccadfd1321fcabd5d59f48eca78b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85088304492
"Li, Y., Deng, F.","57216130828;43160986600;","A graph and clustering-based framework for efficient XACML policy evaluation",2020,"International Journal of Cooperative Information Systems","29","1-2","2040001","","",,,"10.1142/S0218843020400018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082570353&doi=10.1142%2fS0218843020400018&partnerID=40&md5=5b4e6b8bd9dd0ade96227d8be445e5cd",Article,"Final","",Scopus,2-s2.0-85082570353
"Tay, B., Mourad, A.","57218880756;9275987400;","Intelligent Performance-Aware Adaptation of Control Policies for Optimizing Banking Teller Process Using Machine Learning",2020,"IEEE Access","8",,"9163345","153403","153412",,2,"10.1109/ACCESS.2020.3015616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090546587&doi=10.1109%2fACCESS.2020.3015616&partnerID=40&md5=c542e8951cb8fc8789b874cf28b1ae2e",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85090546587
"Deng, F., Lu, J., Wang, S.-Y., Pan, J., Zhang, L.-Y.","43160986600;57207097322;57189245952;57209280894;55568486400;","A distributed PDP model based on spectral clustering for improving evaluation performance",2019,"World Wide Web","22","4",,"1555","1576",,8,"10.1007/s11280-018-0588-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067192638&doi=10.1007%2fs11280-018-0588-8&partnerID=40&md5=a1dabe69803c2b6d97b022d7e9a7ba8c",Article,"Final","",Scopus,2-s2.0-85067192638
"Deng, F., Zhang, L., Zhang, C., Ban, H., Wan, C., Shi, M., Chen, C., Zhang, E.","43160986600;55568486400;57207959543;57207962038;57207964440;57207966804;56789247100;57207957336;","Establishment of rule dictionary for efficient XACML policy management",2019,"Knowledge-Based Systems","175",,,"26","35",,8,"10.1016/j.knosys.2019.03.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063385732&doi=10.1016%2fj.knosys.2019.03.015&partnerID=40&md5=e2760dd54e92b78a21dafc5fcf220c0c",Article,"Final","",Scopus,2-s2.0-85063385732
"Chehab, M., Mourad, A.","57215326520;9275987400;","Towards a lightweight policy-based privacy enforcing approach for IoT",2018,"Proceedings - 2018 International Conference on Computational Science and Computational Intelligence, CSCI 2018",,,"8947639","984","989",,,"10.1109/CSCI46756.2018.00191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078518491&doi=10.1109%2fCSCI46756.2018.00191&partnerID=40&md5=14bd324a93abeaaedf98832dc58ef031",Conference Paper,"Final","",Scopus,2-s2.0-85078518491
