Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Asadi Khashooei, B., Vasenev, A., Kocademir, H.A.","57188638685;35147237300;57226718221;","Structured Traceability of Security and Privacy Principles for Designing Safe Automated Systems",2021,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12853 LNCS",,,"52","62",,,"10.1007/978-3-030-83906-2_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115124730&doi=10.1007%2f978-3-030-83906-2_4&partnerID=40&md5=d0fec2a4d396023ef78dbab5b104843d",Conference Paper,"Final","",Scopus,2-s2.0-85115124730
"Condori-Fernandez, N., Suni-Lopez, F., Muñante, D., Daneva, M.","6507361130;57192192955;55274129600;9039314500;","How Can Personality Influence Perception on Security of Context-Aware Applications?",2021,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12812 LNCS",,,"3","22",,,"10.1007/978-3-030-79318-0_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111556866&doi=10.1007%2f978-3-030-79318-0_1&partnerID=40&md5=ba0f9663a1bdb711a546c92718e8bae2",Conference Paper,"Final","",Scopus,2-s2.0-85111556866
"Zahra, K., Hussain, S., Afzal, H., Mufti, M.R., Khan, D.M., Sohail, M.K.","57222190961;56266004800;56396851100;57322149300;57222386051;57210691189;","A Methodology to Automate the Security Patterns Selection",2021,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12382 LNCS",,,"408","419",,,"10.1007/978-3-030-68851-6_30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101802530&doi=10.1007%2f978-3-030-68851-6_30&partnerID=40&md5=3ef3e5f46ff902db5040f398546b18a2",Conference Paper,"Final","",Scopus,2-s2.0-85101802530
"Washizaki, H., Xia, T., Kamata, N., Fukazawa, Y., Kanuka, H., Kato, T., Yoshino, M., Okubo, T., Ogata, S., Kaiya, H., Hazeyama, A., Tanaka, T., Yoshioka, N., Priyalakshmi, G.","8905784000;57190739798;57207758889;7101986896;36141879100;55483142900;23399094200;36053580600;24829845100;7005774962;23389161100;55977474600;8105005200;57195474281;","Systematic literature review of security pattern research",2021,"Information (Switzerland)","12","1","36","1","27",,,"10.3390/info12010036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099813256&doi=10.3390%2finfo12010036&partnerID=40&md5=e72440fb0ec56380ea032e710c61dbea",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85099813256
"Bunke, M., Sohr, K.","36917797200;6507666174;","Towards supporting software assurance assessments by detecting security patterns",2020,"Software Quality Journal","28","4",,"1711","1753",,,"10.1007/s11219-019-09492-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085115170&doi=10.1007%2fs11219-019-09492-z&partnerID=40&md5=36eaaf5f1f9026ea918aaad7568b7f06",Article,"Final","",Scopus,2-s2.0-85085115170
"Argyropoulos, N., Mouratidis, H., Fish, A.","57028158000;35512143700;12795074800;","Enhancing secure business process design with security process patterns",2020,"Software and Systems Modeling","19","3",,"555","577",,,"10.1007/s10270-019-00743-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068966252&doi=10.1007%2fs10270-019-00743-y&partnerID=40&md5=bf9aad4ce80c1d48b02ac52278d8e7db",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85068966252
"Jafari, A.J., Rasoolzadegan, A.","57214092692;55387723600;","Security patterns: A systematic mapping study",2020,"Journal of Computer Languages","56",,"100938","","",,6,"10.1016/j.cola.2019.100938","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078124042&doi=10.1016%2fj.cola.2019.100938&partnerID=40&md5=77ae7aa3b16a54679c85d050724dd1e7",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85078124042
"Marko, N., Vasenev, A., Striecks, C.","36699867400;35147237300;55842170200;","Collecting and Classifying Security and Privacy Design Patterns for Connected Vehicles: SECREDAS Approach",2020,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12235 LNCS",,,"36","53",,3,"10.1007/978-3-030-55583-2_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096598715&doi=10.1007%2f978-3-030-55583-2_3&partnerID=40&md5=621cfbd8947b53f143c7b2884a9bed88",Conference Paper,"Final","",Scopus,2-s2.0-85096598715
"Javan Jafari, A., Rasoolzadegan, A.","57202362979;55387723600;","Quality-centric security pattern mutations",2019,"Software Quality Journal","27","4",,"1531","1561",,,"10.1007/s11219-019-09454-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069724141&doi=10.1007%2fs11219-019-09454-5&partnerID=40&md5=038b909a31c84be056d84831c18c103d",Article,"Final","",Scopus,2-s2.0-85069724141
"Westin, F., Chiasson, S.","57211182158;9039336600;","Opt out of privacy or “go home”: Understanding reluctant privacy behaviours through the fomo-centric design paradigm",2019,"PervasiveHealth: Pervasive Computing Technologies for Healthcare",,,,"57","67",,4,"10.1145/3368860.3368865","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078343721&doi=10.1145%2f3368860.3368865&partnerID=40&md5=b042143c8e7ea376063a82295bdbfdff",Conference Paper,"Final","",Scopus,2-s2.0-85078343721
"Buckley, I.A., Fernandez, E.B.","36616794800;7402178980;","Reliability patterns: A survey",2019,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","2019-July",,,"","",,,"10.18687/LACCEI2019.1.1.53","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073629878&doi=10.18687%2fLACCEI2019.1.1.53&partnerID=40&md5=a59482ca5d0e92344af7a6201a3e8512",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85073629878
"Van Den Berghe, A., Yskout, K., Joosen, W.","56514019500;23478950900;57202521929;","Security patterns 2.0: Toward security patterns based on security building blocks",2018,"Proceedings - 2018 ACM/IEEE 1st International Workshop on Security Awareness from Design to Deployment, SEAD 2018",,,"8472853","45","48",,1,"10.23919/SEAD.2018.8472853","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055451513&doi=10.23919%2fSEAD.2018.8472853&partnerID=40&md5=39cf2c1b1b3de71bfc4a35ccca810c36",Conference Paper,"Final","",Scopus,2-s2.0-85055451513
"Van Den Berghe, A., Yskout, K., Joosen, W.","56514019500;23478950900;57202521929;","Security paterns 2.0 towards security paterns based on security building blocks",2018,"Proceedings - International Conference on Software Engineering",,,,"45","48",,2,"10.1145/3194707.3194715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055819162&doi=10.1145%2f3194707.3194715&partnerID=40&md5=44df5f2752321e9066ab5fc1ee71d1ea",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85055819162
"Zhang, L., Wen, M., Ashuri, B.","55271615200;57196318467;24777992700;","BIM Log Mining: Measuring Design Productivity",2018,"Journal of Computing in Civil Engineering","32","1","04017071","","",,21,"10.1061/(ASCE)CP.1943-5487.0000721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032629269&doi=10.1061%2f%28ASCE%29CP.1943-5487.0000721&partnerID=40&md5=11205660a5d20cd767e7cea104417f96",Article,"Final","",Scopus,2-s2.0-85032629269
"Suriadi, S., Andrews, R., ter Hofstede, A.H.M., Wynn, M.T.","57191567233;7402135994;7004086310;8964287000;","Event log imperfection patterns for process mining: Towards a systematic approach to cleaning event logs",2017,"Information Systems","64",,,"132","150",,106,"10.1016/j.is.2016.07.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995489547&doi=10.1016%2fj.is.2016.07.011&partnerID=40&md5=b98624fb7c39ed24bc0bffced0fa880f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84995489547
"Argyropoulos, N., Mouratidis, H., Fish, A.","57028158000;35512143700;12795074800;","Supporting secure business process design via security process patterns",2017,"Lecture Notes in Business Information Processing","287",,,"9","13",,3,"10.1007/978-3-319-59466-8_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021244878&doi=10.1007%2f978-3-319-59466-8_2&partnerID=40&md5=e2a326d67bba347228ed51417b64a3c3",Conference Paper,"Final","",Scopus,2-s2.0-85021244878
