Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Hammoud, A., Otrok, H., Mourad, A., Dziong, Z.","57196650892;20436645500;9275987400;6603795154;","Stable federated fog formation: An evolutionary game theoretical approach",2021,"Future Generation Computer Systems","124",,,"21","32",,,"10.1016/j.future.2021.05.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107019507&doi=10.1016%2fj.future.2021.05.021&partnerID=40&md5=ddcca67272d51868a709a2b631d2d5d7",Article,"Final","",Scopus,2-s2.0-85107019507
"Rahmani, A.M., Mohammadi, M., Mohammed, A.H., Karim, S.H.T., Majeed, M.K., Masdari, M., Hosseinzadeh, M.","57204588830;57188972365;57222373056;57221420884;57222369804;55206798900;57201880569;","Towards Data and Computation Offloading in Mobile Cloud Computing: Taxonomy, Overview, and Future Directions",2021,"Wireless Personal Communications","119","1",,"147","185",,1,"10.1007/s11277-021-08202-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102499630&doi=10.1007%2fs11277-021-08202-y&partnerID=40&md5=12a8e1c35a481f8a9ab148235cd70cfb",Review,"Final","",Scopus,2-s2.0-85102499630
"Liang, B., Wu, D., Wu, P., Su, Y.","57209465291;57223041667;35779387400;14036527100;","An energy-aware resource deployment algorithm for cloud data centers based on dynamic hybrid machine learning",2021,"Knowledge-Based Systems","222",,"107020","","",,,"10.1016/j.knosys.2021.107020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104631858&doi=10.1016%2fj.knosys.2021.107020&partnerID=40&md5=aaae03faab7f3c062c5c05f1767f4a67",Article,"Final","",Scopus,2-s2.0-85104631858
"Tout, H., Mourad, A., Kara, N., Talhi, C.","55442989700;9275987400;55394092400;9275987500;","Multi-Persona Mobility: Joint Cost-Effective and Resource-Aware Mobile-Edge Computation Offloading",2021,"IEEE/ACM Transactions on Networking","29","3","9385940","1408","1421",,,"10.1109/TNET.2021.3066558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103292797&doi=10.1109%2fTNET.2021.3066558&partnerID=40&md5=8a279198658d330390b5fd68193a0211",Article,"Final","",Scopus,2-s2.0-85103292797
"Abdulrahman, S., Tout, H., Mourad, A., Talhi, C.","57222335060;55442989700;9275987400;9275987500;","FedMCCS: Multicriteria Client Selection Model for Optimal IoT Federated Learning",2021,"IEEE Internet of Things Journal","8","6","9212434","4723","4735",,2,"10.1109/JIOT.2020.3028742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102363246&doi=10.1109%2fJIOT.2020.3028742&partnerID=40&md5=e8e533f1264b695e7c097057bc334263",Article,"Final","",Scopus,2-s2.0-85102363246
"Mourad, A., Tout, H., Wahab, O.A., Otrok, H., Dbouk, T.","9275987400;55442989700;55798635800;20436645500;57193493257;","Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection",2021,"IEEE Internet of Things Journal","8","2","9138386","829","843",,3,"10.1109/JIOT.2020.3008488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099123407&doi=10.1109%2fJIOT.2020.3008488&partnerID=40&md5=0178d2e07e076ebba760330102ea8da8",Article,"Final","",Scopus,2-s2.0-85099123407
"Al-Abbas, M., Saab, S.S.","57215588077;7004275222;","On the Impact of Multi-Authorship Scholarly Publications",2020,"Proceedings of IEEE International Conference on Advent Trends in Multidisciplinary Research and Innovation, ICATMRI 2020",,,"9398438","","",,,"10.1109/ICATMRI51801.2020.9398438","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104669217&doi=10.1109%2fICATMRI51801.2020.9398438&partnerID=40&md5=7c643d3a24320c81d9f1ec841dcb260e",Conference Paper,"Final","",Scopus,2-s2.0-85104669217
"El-Rajab, M., Abou-Rjeily, C., Kfouri, R.","57215538011;13003908400;57222165817;","Buffer-aided relaying: A survey on relay selection policies",2020,"IET Communications","14","21",,"3715","3734",,,"10.1049/iet-com.2020.0532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101768179&doi=10.1049%2fiet-com.2020.0532&partnerID=40&md5=2c71a20fba89eea9473d01bff6ceeca3",Review,"Final","",Scopus,2-s2.0-85101768179
"Al-Abbas, M., Saab, S.S.","57215588077;7004275222;","The Impact of Collaborative Research: A Case Study in a Developing Country",2020,"4th International Symposium on Multidisciplinary Studies and Innovative Technologies, ISMSIT 2020 - Proceedings",,,"9254613","","",,1,"10.1109/ISMSIT50672.2020.9254613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097682784&doi=10.1109%2fISMSIT50672.2020.9254613&partnerID=40&md5=ea68e3b6f1979233805f60288439159a",Conference Paper,"Final","",Scopus,2-s2.0-85097682784
"Arisdakessian, S., Wahab, O.A., Mourad, A., Otrok, H., Kara, N.","57218917207;55798635800;9275987400;20436645500;55394092400;","FoGMatch: An Intelligent Multi-Criteria IoT-Fog Scheduling Approach Using Game Theory",2020,"IEEE/ACM Transactions on Networking","28","4","9109632","1779","1789",,10,"10.1109/TNET.2020.2994015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090768645&doi=10.1109%2fTNET.2020.2994015&partnerID=40&md5=8c3920b37db687ffbc0d28aad5fd3cd5",Article,"Final","",Scopus,2-s2.0-85090768645
"Sami, H., Mourad, A., Otrok, H., Bentahar, J.","57211430573;9275987400;20436645500;8961304900;","FScaler: Automatic Resource Scaling of Containers in Fog Clusters Using Reinforcement Learning",2020,"2020 International Wireless Communications and Mobile Computing, IWCMC 2020",,,"9148401","1824","1829",,1,"10.1109/IWCMC48107.2020.9148401","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089671536&doi=10.1109%2fIWCMC48107.2020.9148401&partnerID=40&md5=fb1726d78754b5596759d0ec243489f6",Conference Paper,"Final","",Scopus,2-s2.0-85089671536
