Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Deng, F., Yu, Z., Liu, W., Luo, X., Fu, Y., Qiang, B., Xu, C., Li, Z.","43160986600;7404347135;57219353272;57219354085;57219351213;57219363943;57219360920;55588010000;","An efficient policy evaluation engine for XACML policy management",2021,"Information Sciences","547",,,"1105","1121",,,"10.1016/j.ins.2020.08.044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092416717&doi=10.1016%2fj.ins.2020.08.044&partnerID=40&md5=bc05835e52c4b3e0d902e827e3385a7b",Article,"Final","",Scopus,2-s2.0-85092416717
"Deng, F., Yu, Z., Song, H., Zhang, L., Song, X., Zhang, M., Zhang, Z., Mei, Y.","43160986600;7404347135;57199094588;55568486400;57321095800;57321095900;56165813700;57321477500;","Improvement on PDP Evaluation Performance Based on Neural Networks and SGDK-means Algorithm",2021,"Soft Computing",,,,"","",,,"10.1007/s00500-021-06447-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118370527&doi=10.1007%2fs00500-021-06447-0&partnerID=40&md5=a5e5f9640501131d7ec5b243faaa7e29",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85118370527
"Ahmadi, S., Nassiri, M., Rezvani, M.","57216610355;24725089600;35776885100;","XACBench: a XACML policy benchmark",2020,"Soft Computing","24","21",,"16081","16096",,1,"10.1007/s00500-020-04925-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084067989&doi=10.1007%2fs00500-020-04925-5&partnerID=40&md5=b3664772ec4388e7eff39fa05e0ec977",Article,"Final","",Scopus,2-s2.0-85084067989
"Deng, F., Yu, Z., Zhang, L., Ge, X., Zhao, R., Li, X., Ma, Y., Yan, Y., Wen, Z.","43160986600;7404347135;55568486400;57218352907;57218352665;57202442597;57218354622;57218354685;57218354559;","Clustering and supervised response for XACML policy evaluation and management",2020,"Knowledge-Based Systems","205",,"106312","","",,,"10.1016/j.knosys.2020.106312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088896222&doi=10.1016%2fj.knosys.2020.106312&partnerID=40&md5=a2ce0aced241bb01968269fcb949d097",Article,"Final","",Scopus,2-s2.0-85088896222
"Mejri, M., Yahyaoui, H., Mourad, A., Chehab, M.","6602661138;6602992340;9275987400;57215326520;","A rewriting system for the assessment of XACML policies relationship",2020,"Computers and Security","97",,"101957","","",,2,"10.1016/j.cose.2020.101957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088304492&doi=10.1016%2fj.cose.2020.101957&partnerID=40&md5=3196ccadfd1321fcabd5d59f48eca78b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85088304492
"Islambouli, R., Sweidan, Z., Mourad, A., Abou-Rjeily, C.","57208273417;57214664773;9275987400;13003908400;","Towards Trust-Aware IoT Hashing Offloading in Mobile Edge Computing",2020,"2020 International Wireless Communications and Mobile Computing, IWCMC 2020",,,"9148480","2216","2221",,,"10.1109/IWCMC48107.2020.9148480","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089662389&doi=10.1109%2fIWCMC48107.2020.9148480&partnerID=40&md5=22d71927de3bc59784d251e63580411a",Conference Paper,"Final","",Scopus,2-s2.0-85089662389
"Li, Y., Deng, F.","57216130828;43160986600;","A graph and clustering-based framework for efficient XACML policy evaluation",2020,"International Journal of Cooperative Information Systems","29","1-2","2040001","","",,,"10.1142/S0218843020400018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082570353&doi=10.1142%2fS0218843020400018&partnerID=40&md5=5b4e6b8bd9dd0ade96227d8be445e5cd",Article,"Final","",Scopus,2-s2.0-85082570353
"Tay, B., Mourad, A.","57218880756;9275987400;","Intelligent Performance-Aware Adaptation of Control Policies for Optimizing Banking Teller Process Using Machine Learning",2020,"IEEE Access","8",,"9163345","153403","153412",,2,"10.1109/ACCESS.2020.3015616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090546587&doi=10.1109%2fACCESS.2020.3015616&partnerID=40&md5=c542e8951cb8fc8789b874cf28b1ae2e",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85090546587
"Zheng, G., Xiao, Y.","57214778391;14520226600;","A Research on Conflicts Detection in ABAC Policy",2019,"Proceedings of IEEE 7th International Conference on Computer Science and Network Technology, ICCSNT 2019",,,"8962438","408","412",,1,"10.1109/ICCSNT47585.2019.8962438","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079096208&doi=10.1109%2fICCSNT47585.2019.8962438&partnerID=40&md5=c1bd8d6c4242a6ac9af6882b099cda69",Conference Paper,"Final","",Scopus,2-s2.0-85079096208
"Deng, F., Lu, J., Wang, S.-Y., Pan, J., Zhang, L.-Y.","43160986600;57207097322;57189245952;57209280894;55568486400;","A distributed PDP model based on spectral clustering for improving evaluation performance",2019,"World Wide Web","22","4",,"1555","1576",,8,"10.1007/s11280-018-0588-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067192638&doi=10.1007%2fs11280-018-0588-8&partnerID=40&md5=a1dabe69803c2b6d97b022d7e9a7ba8c",Article,"Final","",Scopus,2-s2.0-85067192638
