Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Masoudi, M., Cavdar, C.","57188558577;24178594900;","Device vs Edge Computing for Mobile Services: Delay-Aware Decision Making to Minimize Power Consumption",2021,"IEEE Transactions on Mobile Computing","20","12",,"3324","3337",,2,"10.1109/TMC.2020.2999784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118834746&doi=10.1109%2fTMC.2020.2999784&partnerID=40&md5=817a0e367e4b6241fff40c3f28f8193f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85118834746
"Tout, H., Mourad, A., Kara, N., Talhi, C.","55442989700;9275987400;55394092400;9275987500;","Multi-Persona Mobility: Joint Cost-Effective and Resource-Aware Mobile-Edge Computation Offloading",2021,"IEEE/ACM Transactions on Networking","29","3","9385940","1408","1421",,,"10.1109/TNET.2021.3066558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103292797&doi=10.1109%2fTNET.2021.3066558&partnerID=40&md5=8a279198658d330390b5fd68193a0211",Article,"Final","",Scopus,2-s2.0-85103292797
"Kaya, M., Çetin-Kaya, Y.","57209816885;56644776100;","Seamless computation offloading for mobile applications using an online learning algorithm",2021,"Computing","103","5",,"771","799",,,"10.1007/s00607-020-00873-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099063302&doi=10.1007%2fs00607-020-00873-y&partnerID=40&md5=83235cec9a330c32ebd0f43b0197cbb9",Article,"Final","",Scopus,2-s2.0-85099063302
"Ding, Y., Li, K., Liu, C., Tang, Z., Li, K.","57216240289;57203906672;56263967300;7403306139;57199454104;","Short- and long-term cost and performance optimization for mobile user equipments",2021,"Journal of Parallel and Distributed Computing","150",,,"69","84",,,"10.1016/j.jpdc.2020.12.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098938085&doi=10.1016%2fj.jpdc.2020.12.006&partnerID=40&md5=19f1302621a82aca598288d604547316",Article,"Final","",Scopus,2-s2.0-85098938085
"Mourad, A., Tout, H., Wahab, O.A., Otrok, H., Dbouk, T.","9275987400;55442989700;55798635800;20436645500;57193493257;","Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection",2021,"IEEE Internet of Things Journal","8","2","9138386","829","843",,3,"10.1109/JIOT.2020.3008488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099123407&doi=10.1109%2fJIOT.2020.3008488&partnerID=40&md5=0178d2e07e076ebba760330102ea8da8",Article,"Final","",Scopus,2-s2.0-85099123407
"Shakarami, A., Ghobaei-Arani, M., Masdari, M., Hosseinzadeh, M.","57216524748;57189577393;55206798900;57201880569;","A Survey on the Computation Offloading Approaches in Mobile Edge/Cloud Computing Environment: A Stochastic-based Perspective",2020,"Journal of Grid Computing","18","4",,"639","671",,37,"10.1007/s10723-020-09530-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089249266&doi=10.1007%2fs10723-020-09530-2&partnerID=40&md5=6576073da4b7dcd83f8d283fd1e9fa6a",Review,"Final","",Scopus,2-s2.0-85089249266
"Tan, Q., Liu, Y., Ye, Q.","56978695400;57192432140;57208235580;","The impact of clean development mechanism on energy-water-carbon nexus optimization in Hebei, China: A hierarchical model based discussion",2020,"Journal of Environmental Management","264",,"110441","","",,8,"10.1016/j.jenvman.2020.110441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082550513&doi=10.1016%2fj.jenvman.2020.110441&partnerID=40&md5=99aab28b31245220558e4a5b91c761c5",Article,"Final","",Scopus,2-s2.0-85082550513
"Sami, H., Mourad, A.","57211430573;9275987400;","Dynamic On-Demand Fog Formation Offering On-the-Fly IoT Service Deployment",2020,"IEEE Transactions on Network and Service Management","17","2","8947936","1026","1039",,15,"10.1109/TNSM.2019.2963643","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083704763&doi=10.1109%2fTNSM.2019.2963643&partnerID=40&md5=f1aab3b690eb7f6ad4ff615609d902bd",Article,"Final","",Scopus,2-s2.0-85083704763
"Sami, H., Mourad, A., El-Hajj, W.","57211430573;9275987400;21833644200;","Vehicular-OBUs-As-On-Demand-Fogs: Resource and Context Aware Deployment of Containerized Micro-Services",2020,"IEEE/ACM Transactions on Networking","28","2","9032323","778","790",,13,"10.1109/TNET.2020.2973800","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083724639&doi=10.1109%2fTNET.2020.2973800&partnerID=40&md5=0a47e7dd60662a13a62b7d2176b7c75c",Article,"Final","",Scopus,2-s2.0-85083724639
"Meena, V., Gireesha, O., Krithivasan, K., Shankar Sriram, V.S.","6602833677;57193564026;57210248929;57208896831;","Fuzzy simplified swarm optimization for multisite computational offloading in mobile cloud computing",2020,"Journal of Intelligent and Fuzzy Systems","39","6",,"8285","8297",,,"10.3233/JIFS-189148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097630535&doi=10.3233%2fJIFS-189148&partnerID=40&md5=ce613f5c73d310f83c26526d0031cd73",Article,"Final","",Scopus,2-s2.0-85097630535
"Farhat, P., Sami, H., Mourad, A.","57211587432;57211430573;9275987400;","Reinforcement R-learning model for time scheduling of on-demand fog placement",2020,"Journal of Supercomputing","76","1",,"388","410",,7,"10.1007/s11227-019-03032-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074502679&doi=10.1007%2fs11227-019-03032-z&partnerID=40&md5=be76a1c041efef76765f962b4c0092b8",Article,"Final","",Scopus,2-s2.0-85074502679
"Tout, H., Kara, N., Talhi, C., Mourad, A.","55442989700;55394092400;9275987500;9275987400;","Proactive machine learning-based solution for advanced manageability of multi-persona mobile computing",2019,"Computers and Electrical Engineering","80",,"106497","","",,2,"10.1016/j.compeleceng.2019.106497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074295071&doi=10.1016%2fj.compeleceng.2019.106497&partnerID=40&md5=a20792ea08340c281a4a71765c83c2a4",Article,"Final","",Scopus,2-s2.0-85074295071
"Salehan, A., Deldari, H., Abrishami, S.","24830684900;55972245100;36668156800;","An online context-aware mechanism for computation offloading in ubiquitous and mobile cloud environments",2019,"Journal of Supercomputing","75","7",,"3769","3809",,4,"10.1007/s11227-019-02743-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059841430&doi=10.1007%2fs11227-019-02743-7&partnerID=40&md5=d4798ecab21db5fec22cc9d4a3aaa0da",Article,"Final","",Scopus,2-s2.0-85059841430
