Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zheng, G., Xu, Y.","56609630500;57356100100;","Research on Security Trust Model of P2P Network Based on Improved Search Algorithm",2022,"Lecture Notes in Electrical Engineering","808 LNEE",,,"662","677",,,"10.1007/978-981-16-6554-7_72","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120081314&doi=10.1007%2f978-981-16-6554-7_72&partnerID=40&md5=346a08b10c4447b3bc94ab0ecd20f69e",Conference Paper,"Final","",Scopus,2-s2.0-85120081314
"Abualola, H., Otrok, H.","57189460442;20436645500;","Stable coalitions for urban-VANET: A hedonic game approach",2021,"Vehicular Communications","30",,"100355","","",,1,"10.1016/j.vehcom.2021.100355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103394733&doi=10.1016%2fj.vehcom.2021.100355&partnerID=40&md5=74696d683ecdf20b7b846bc07d0a654c",Article,"Final","",Scopus,2-s2.0-85103394733
"Sun, P.J.","57200148931;","A tripartite game model of trust cooperation in cloud service",2021,"Computers and Security","106",,"102272","","",,,"10.1016/j.cose.2021.102272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105693203&doi=10.1016%2fj.cose.2021.102272&partnerID=40&md5=9c19f0e6dab3c5c07d59cad9fada81ea",Article,"Final","",Scopus,2-s2.0-85105693203
"Mousa, A., Bentahar, J., Alam, O.","57191036087;8961304900;35190182600;","Multi-dimensional trust for context-aware services computing",2021,"Expert Systems with Applications","172",,"114592","","",,,"10.1016/j.eswa.2021.114592","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100550931&doi=10.1016%2fj.eswa.2021.114592&partnerID=40&md5=24e2a9a1e83f9e7b7963bfb5cd2f3d06",Article,"Final","",Scopus,2-s2.0-85100550931
"Ray, B.K., Saha, A., Khatua, S., Roy, S.","56135767300;57202010975;36675235100;55362070500;","Quality and Profit Assured Trusted Cloud Federation Formation: Game Theory Based Approach",2021,"IEEE Transactions on Services Computing","14","3","8356142","805","819",,6,"10.1109/TSC.2018.2833854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046784722&doi=10.1109%2fTSC.2018.2833854&partnerID=40&md5=b27e4e6ed1639591f66b8d35e2fba99a",Article,"Final","",Scopus,2-s2.0-85046784722
"Gonçalves, I., Rodrigues, L., Silva, F.A., Nguyen, T.A., Min, D., Lee, J.-W.","57222657267;57215336212;55817259800;57202141739;7201670327;57203409283;","Surveillance system in smart cities: A dependability evaluation based on stochastic models",2021,"Electronics (Switzerland)","10","8","876","","",,2,"10.3390/electronics10080876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103680232&doi=10.3390%2felectronics10080876&partnerID=40&md5=093c2c4b6f322c436cbd1c78250f0b8c",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85103680232
"Wahab, O.A., Mourad, A., Otrok, H., Taleb, T.","55798635800;9275987400;20436645500;6602641627;","Federated Machine Learning: Survey, Multi-Level Classification, Desirable Criteria and Future Directions in Communication and Networking Systems",2021,"IEEE Communications Surveys and Tutorials","23","2","9352033","1342","1397",,15,"10.1109/COMST.2021.3058573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100831147&doi=10.1109%2fCOMST.2021.3058573&partnerID=40&md5=5d8de4ee2b9043e9cbd84ba24e20dabb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100831147
"Vetha, S., Vimala Devi, K.","57191493364;24451159100;","A trust-based hypervisor framework for preventing DDoS attacks in cloud",2021,"Concurrency and Computation: Practice and Experience","33","3","e5279","","",,3,"10.1002/cpe.5279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063935139&doi=10.1002%2fcpe.5279&partnerID=40&md5=1256803c78fbef4f372db7b7b16dd623",Article,"Final","",Scopus,2-s2.0-85063935139
"Peter Soosai Anandaraj, A., Indumathi, G.","57207684696;57204717131;","Improved cuckoo search load distribution (ICS-LD) and attack detection in cloud environment",2021,"Concurrency and Computation: Practice and Experience","33","3","e5226","","",,1,"10.1002/cpe.5226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062719742&doi=10.1002%2fcpe.5226&partnerID=40&md5=5a39daed0b09b4bc49be2cecef4c1c8f",Conference Paper,"Final","",Scopus,2-s2.0-85062719742
"Ahmed, U., Al-Saidi, A., Petri, I., Rana, O.F.","36682066000;35084810800;36617625400;7003659610;","QoS-aware trust establishment for cloud federation",2021,"Concurrency and Computation: Practice and Experience",,,,"","",,,"10.1002/cpe.6598","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113938280&doi=10.1002%2fcpe.6598&partnerID=40&md5=e759aede3ba27bee2aa465818021985e",Article,"Article in Press","",Scopus,2-s2.0-85113938280
