Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Freitas De Araujo-Filho, P., Kaddoum, G., Campelo, D.R., Gondim Santos, A., Macedo, D., Zanchettin, C.","57222149630;24587843100;6507199723;57204641223;57204640204;8145364800;","Intrusion Detection for Cyber-Physical Systems Using Generative Adversarial Networks in Fog Environment",2021,"IEEE Internet of Things Journal","8","8","9199878","6247","6256",,6,"10.1109/JIOT.2020.3024800","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099780317&doi=10.1109%2fJIOT.2020.3024800&partnerID=40&md5=afd7c04fc6354a71bc0c1acddfa439dd",Article,"Final","",Scopus,2-s2.0-85099780317
"Alhadidi, D., Mourad, A., Kaitouni, H.I., Debbabi, M.","24477041800;9275987400;55787037000;57203104171;","Common weaving approach in mainstream languages for software security hardening",2013,"Journal of Systems and Software","86","10",,"2654","2674",,,"10.1016/j.jss.2013.05.044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882691817&doi=10.1016%2fj.jss.2013.05.044&partnerID=40&md5=05b39cbec967bb9817a66c1062552cc3",Article,"Final","",Scopus,2-s2.0-84882691817
"Safonov, V.O.","7102092835;","Aspect-oriented programming and Aspect.NET as security and privacy tools for web and 3D web programming",2010,"Security in Virtual Worlds, 3D Webs, and Immersive Environments: Models for Development, Interaction, and Management",,,,"221","262",,1,"10.4018/978-1-61520-891-3.ch011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898592989&doi=10.4018%2f978-1-61520-891-3.ch011&partnerID=40&md5=4481b86f3ab2e72e2281ada96cbccf1a",Book Chapter,"Final","",Scopus,2-s2.0-84898592989
"Charpentier, R., Debbabi, M., Alhadidi, D., Mourad, A., Belblidia, N., Boukhtouta, A., Hanna, A., Hadjidj, R., Kaitouni, H., Laverdière, M.-A., Ling, H.Z., Tlili, S., Yang, X., Yang, Z.","6603138476;57203104171;24477041800;9275987400;15055172900;35078039000;24461567400;12644950100;55787037000;7006357778;24724358600;24512648200;26868247000;56171389900;","Security evaluation and hardening of Free and Open Source Software (FOSS)",2010,"Electronic Communications of the EASST","33",,,"","",18,1,"10.14279/tuj.eceasst.33.452.440","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042856325&doi=10.14279%2ftuj.eceasst.33.452.440&partnerID=40&md5=580661a0c905ba9f6404e2ceba246011",Conference Paper,"Final","",Scopus,2-s2.0-85042856325
"Alhadidi, D., Belblidia, N., Debbabi, M., Bhattacharya, P.","24477041800;15055172900;57203104171;57203047200;","λ-SAOP: A security AOP calculus",2009,"Computer Journal","52","7",,"824","849",,4,"10.1093/comjnl/bxn065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649325125&doi=10.1093%2fcomjnl%2fbxn065&partnerID=40&md5=9a445d55f6437e047e38a30552e37dfa",Article,"Final","",Scopus,2-s2.0-77649325125
"Mourad, A., Soeanu, A., Laverdière, M.-A., Debbabi, M.","9275987400;15925834000;7006357778;57203104171;","New aspect-oriented constructs for security hardening concerns",2009,"Computers and Security","28","6",,"341","358",,3,"10.1016/j.cose.2009.02.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649823405&doi=10.1016%2fj.cose.2009.02.003&partnerID=40&md5=771248d9b70018c471b690dfd36226c6",Article,"Final","",Scopus,2-s2.0-67649823405
"Mourad, A., Alhadidi, D., Debbabi, M.","9275987400;24477041800;57203104171;","Cross-languageweaving approach targeting software security hardening",2008,"Proceedings - 6th Annual Conference on Privacy, Security and Trust, PST 2008",,,"4641276","87","98",,1,"10.1109/PST.2008.22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650091694&doi=10.1109%2fPST.2008.22&partnerID=40&md5=b1f20e69d7be1a888bb3ee0ffe878e54",Conference Paper,"Final","",Scopus,2-s2.0-67650091694
"Mourad, A., Laverdière, M.-A., Debbabi, M.","9275987400;7006357778;57203104171;","A security hardening language based on aspect-orientation",2008,"Communications in Computer and Information Science","23 CCIS",,,"254","266",,,"10.1007/978-3-540-88653-2_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78349246209&doi=10.1007%2f978-3-540-88653-2_19&partnerID=40&md5=442a7f6575e8c27719a3fe5046d699d4",Conference Paper,"Final","",Scopus,2-s2.0-78349246209
"Mourad, A., Laverdière, M.-A., Debbabi, M.","9275987400;7006357778;57203104171;","A high-level aspect-oriented-based framework for software security hardening",2008,"Information Security Journal","17","2",,"56","74",,17,"10.1080/19393550801911230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58049134438&doi=10.1080%2f19393550801911230&partnerID=40&md5=300274b32aaea4e336d5c95c1dd5c54c",Article,"Final","",Scopus,2-s2.0-58049134438
"Laverdière, M.-A., Mourad, A., Soeanu, A., Debbabi, M.","7006357778;9275987400;15925834000;57203104171;","Control flow based pointcuts for security hardening concerns",2007,"IFIP International Federation for Information Processing","238",,,"301","316",,6,"10.1007/978-0-387-73655-6_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36649008085&doi=10.1007%2f978-0-387-73655-6_20&partnerID=40&md5=b7acaf8d8be41e1e310da157f5f93d7e",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-36649008085
"Mourad, A., Laverdiere, M.-A., Debbabi, M.","9275987400;7006357778;57203104171;","A high-level aspect-oriented based language for software security hardening",2007,"SECRYPT 2007 - International Conference on Security and Cryptography, Proceedings",,,,"363","370",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649801184&partnerID=40&md5=dcf9e7d121397e7f2f117d5ff7b46ce5",Conference Paper,"Final","",Scopus,2-s2.0-67649801184
"Mourad, A., Laverdière, M.-A., Debbabi, M.","9275987400;7006357778;57203104171;","New primitives to AOP weaving capabilities for security hardening concerns",2007,"Proceedings of the 5th International Workshop on Security in Information Systems - WOSIS 2007; In Conjunction with ICEIS 2007",,,,"123","130",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149113169&partnerID=40&md5=078295c0df2e0bf1177fa30bf3f8fec6",Conference Paper,"Final","",Scopus,2-s2.0-58149113169
