Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Sedghani, H., Ardagna, D., Passacantando, M., Lighvan, M.Z., Aghdasi, H.S.","57232110300;6508040906;22635215600;55585554000;24576457500;","An incentive mechanism based on a Stackelberg game for mobile crowdsensing systems with budget constraint",2021,"Ad Hoc Networks","123",,"102626","","",,1,"10.1016/j.adhoc.2021.102626","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113545571&doi=10.1016%2fj.adhoc.2021.102626&partnerID=40&md5=0332642bd0503aca7e979d98a60770a9",Article,"Final","",Scopus,2-s2.0-85113545571
"Aghayari, H., Kalankesh, L.R., Sadeghi-Bazargani, H., Feizi-Derakhshi, M.-R.","57226554055;12796418600;24822739400;35748449200;","Mobile applications for road traffic health and safety in the mirror of the Haddon’s matrix",2021,"BMC Medical Informatics and Decision Making","21","1","230","","",,,"10.1186/s12911-021-01578-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111939352&doi=10.1186%2fs12911-021-01578-8&partnerID=40&md5=e050c30bddbd54e8e928576f0d847f8f",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85111939352
"Abdullah, D.B., Mohammed, H.H.","55749452200;57222141547;","Computation Offloading in the Internet of Connected Vehicles: A Systematic Literature Survey",2021,"Journal of Physics: Conference Series","1818","1","012122","","",,,"10.1088/1742-6596/1818/1/012122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102775130&doi=10.1088%2f1742-6596%2f1818%2f1%2f012122&partnerID=40&md5=a90b8d3a334d3db4aae8a79c05517986",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85102775130
"Mathew, S.S., AlKhatib, M., El Barachi, M.","55039814800;57191885473;13408062900;","A deep learning approach for real-time analysis of attendees' engagement in public events",2021,"Journal of Communications Software and Systems","17","2",,"106","115",,,"10.24138/JCOMSS-2021-0072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106362744&doi=10.24138%2fJCOMSS-2021-0072&partnerID=40&md5=131ed8321a423fe2a0f12fe05f64f410",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85106362744
"Abou-zbiba, W., El Gadi, H., El Bakkali, H., Benbrahim, H., Benhaddou, D.","57222401592;57222404232;36968108700;8301231000;16243871200;","A Novel Mobile CrowdSensing Architecture for Road Safety",2021,"Lecture Notes in Networks and Systems","183",,,"311","324",,,"10.1007/978-3-030-66840-2_24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102625921&doi=10.1007%2f978-3-030-66840-2_24&partnerID=40&md5=625844bcb30cf1f884057c1415e851e2",Conference Paper,"Final","",Scopus,2-s2.0-85102625921
"Bataineh, A.S., Mizouni, R., Bentahar, J., El Barachi, M.","57189468771;8572417600;8961304900;13408062900;","Toward monetizing personal data: A two-sided market analysis",2020,"Future Generation Computer Systems","111",,,"435","459",,4,"10.1016/j.future.2019.11.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076214491&doi=10.1016%2fj.future.2019.11.009&partnerID=40&md5=47de657eaf655d4cfe76d3b967195644",Article,"Final","",Scopus,2-s2.0-85076214491
"Dertimanis, V.K., Zimmermann, M., Corman, F., Chatzi, E.N.","57195415260;57191922509;26538706900;26025840000;","On-Board monitoring of rail roughness via axle box accelerations of revenue trains with uncertain dynamics",2020,"Conference Proceedings of the Society for Experimental Mechanics Series",,,,"167","171",,3,"10.1007/978-3-030-12075-7_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067351081&doi=10.1007%2f978-3-030-12075-7_18&partnerID=40&md5=a0590adced21b3ca598b956f619fa617",Conference Paper,"Final","",Scopus,2-s2.0-85067351081
"Auza, J.M.N., De Marca, J.R.B., Siqueira, G.L.","56493007000;6602097462;7003540607;","Design of a local information incentive mechanism for mobile crowdsensing",2019,"Sensors (Switzerland)","19","11","2532","","",,3,"10.3390/s19112532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068698752&doi=10.3390%2fs19112532&partnerID=40&md5=0e824d2104e39a2f62e336d57e15db63",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85068698752
"Chen, J., Yang, J.","56222911600;57209233880;","Maximizing coverage quality with budget constrained in mobile crowd-sensing network for environmental monitoring applications",2019,"Sensors (Switzerland)","19","10","2399","","",,11,"10.3390/s19102399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066936080&doi=10.3390%2fs19102399&partnerID=40&md5=07a4cfc9a3b06ae84ff9135616e7a55f",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85066936080
"Rahman, S.A., Mourad, A., El Barachi, M.","57201798726;9275987400;13408062900;","An Infrastructure-Assisted Crowdsensing Approach for On-Demand Traffic Condition Estimation",2019,"IEEE Access","7",,"8895966","163323","163340",,5,"10.1109/ACCESS.2019.2953002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075785330&doi=10.1109%2fACCESS.2019.2953002&partnerID=40&md5=38f4dcc497dae40a2904801dcbc37297",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85075785330
